# std_name  RA  DEC  V  eV  b-y  e(b-y)  m1  em1  c1  ec1  beta  e_beta  around_star  V_star
  HD21933  053.1497892 +09.3734376      5.770  0.011 -0.031  0.002  0.117  0.003  0.735  0.011  2.786  0.004  HD23526   5.909
  HD25102  059.9187383 +10.3303946      6.362  0.025  0.272  0.001  0.171  0.002  0.478  0.001  2.674  0.004  HD23526   5.909
  HD22211  053.7045052 +06.4176907      6.485  0.030  0.409  0.004  0.183  0.007  0.452  0.016  2.615  0.003  HD23526   5.909
  HD20606  049.5108165 -28.7970815      5.926  0.001  0.202  0.001  0.175  0.001  0.751  0.001  2.738  0.001  HD23940   5.543
  HD22789  054.6986370 -27.9430536      6.002  0.018 -0.021  0.008  0.142  0.013  1.069  0.015  2.859  0.003  HD23940   5.543
  HD20853  050.1883468 -26.6065052      6.365  0.054  0.349  0.001  0.171  0.002  0.424  0.008  2.644  0.025  HD23940   5.543
  HD27563  065.1784754 -07.5924935      5.852  0.002 -0.050  0.001  0.095  0.001  0.525  0.001  2.702  0.002  HD26464  -9.999
  HD24833  059.1316700 -10.8531332      6.571  0.020  0.320  0.005  0.167  0.009  0.470  0.011  2.630  0.001  HD26464  -9.999
  HD25165  059.8755523 -12.5744199      5.526  0.045  0.914  0.011  0.735  0.066  0.411  0.041  2.594  0.001  HD26464  -9.999
  HD30127  071.0332549 -18.6665837      5.542  0.002  0.012  0.008  0.153  0.016  1.108  0.001  2.889  0.004  HD30814   5.041
  HD34721  079.7103021 -18.1300469      5.956  0.006  0.365  0.004  0.181  0.014  0.365  0.003  2.590  0.029  HD30814   5.041
  HD34538  079.4176728 -13.5198263      5.507  0.001  0.591  0.001  0.368  0.001  0.387  0.001  2.532  0.001  HD30814   5.041
  HD37635  084.8785104 -09.7066304      6.500  0.001 -0.050  0.004  0.111  0.007  0.491  0.004  2.724  0.013  HD35369  -9.999
  HD38858  087.1455884 -04.0946431      5.972  0.006  0.401  0.001  0.199  0.005  0.283  0.007  2.594  0.001  HD35369  -9.999
  HD32147  075.2041675 -05.7536799      6.205  0.013  0.604  0.007  0.626  0.014  0.244  0.016  2.529  0.001  HD35369  -9.999
  HD42054  091.7652861 -34.3120208      5.882  0.025 -0.053  0.006  0.090  0.001  0.411  0.047  2.601  0.018  HD36874   5.768
  HD41667  091.2651883 -32.9940914      8.534  0.003  0.615  0.012  0.287  0.001  0.388  0.001  2.523  0.001  HD36874   5.768
  HD40292  088.7087170 -52.6354812      5.283  0.017  0.179  0.003  0.183  0.008  0.749  0.009  2.746  0.003  HD39523   4.500
  HD33262  076.3777317 -57.4727021      4.703  0.005  0.339  0.004  0.163  0.006  0.325  0.011  2.613  0.007  HD39523   4.500
  HD41214  090.2048766 -51.2163185      5.649  0.013  0.109  0.008  0.231  0.001  0.930  0.001  2.851  0.010  HD39640   5.163
  HD46569  097.8263207 -51.8259534      5.589  0.008  0.342  0.004  0.172  0.009  0.449  0.009  2.633  0.005  HD39640   5.163
  HD44756  095.8449777 -04.6875059      6.668  0.003  0.031  0.006  0.178  0.017  0.910  0.029  2.875  0.004  HD39910   5.863
  HD42278  092.4010581 -05.7114293      6.184  0.023  0.225  0.004  0.151  0.002  0.669  0.006  2.694  0.002  HD39910   5.863
  HD38858  087.1455884 -04.0946431      5.972  0.006  0.401  0.001  0.199  0.005  0.283  0.007  2.594  0.001  HD39910   5.863
  HD43112  093.7852990 +13.8510962      5.927  0.011 -0.109  0.010  0.095  0.002 -0.018  0.011  2.616  0.006  HD40020   5.876
  HD42089  092.2802016 +07.5135276      6.656  0.047  0.595  0.001  0.334  0.040  0.524  0.029  2.622  0.001  HD40020   5.876
  HD42054  091.7652861 -34.3120208      5.882  0.025 -0.053  0.006  0.090  0.001  0.411  0.047  2.601  0.018  HD43899   5.557
  HD38385  085.8757703 -39.4069092      6.247  0.001  0.234  0.001  0.159  0.001  0.606  0.001  2.700  0.001  HD43899   5.557
  HD48434  100.9110235 +03.9325306      5.859  0.001  0.070  0.001 -0.001  0.004 -0.069  0.002  2.570  0.003  HD45415  -9.999
  HD45067  096.3189426 -00.9458840      5.881  0.010  0.361  0.003  0.168  0.004  0.394  0.006  2.611  0.002  HD45415  -9.999
  HD45674  097.1960942 -00.5724052      6.521  0.011  0.610  0.006  0.024  0.028  1.453  0.004  2.743  0.001  HD45415  -9.999
  HD51557  102.8624440 -70.9634103      5.411  0.001 -0.049  0.000  0.106  0.002  0.685  0.003  2.741  0.004  HD46116   5.373
  HD55864  107.1765778 -70.4971067      5.722  0.025  0.275  0.001  0.176  0.001  0.538  0.001  2.674  0.001  HD46116   5.373
  HD44447  093.7750682 -71.7027674      6.613  0.001  0.369  0.001  0.158  0.001  0.335  0.001  2.599  0.001  HD46116   5.373
  HD57118  109.7580022 -19.2803020      6.085  0.013  0.422  0.003  0.090  0.011  1.478  0.033  2.692  0.004  HD53629   6.085
  HD52273  104.9135622 -21.6028891      6.267  0.001 -0.060  0.007  0.073  0.005  0.176  0.005  2.603  0.016  HD53629   6.085
  HD57703  110.7691909 +18.2734105      6.782  0.002  0.289  0.004  0.152  0.001  0.438  0.002  2.665  0.001  HD54131  -9.999
  HD57146  109.7136382 -26.5858520      5.299  0.002  0.595  0.006  0.359  0.015  0.463  0.024  2.619  0.007  HD56160   5.580
  HD52619  105.1771375 -28.4895803      6.293  0.000  0.294  0.004  0.160  0.001  0.521  0.001  2.657  0.007  HD56160   5.580
  HD65189  118.7517699 -52.5833296      6.373  0.023  0.036  0.001  0.080  0.004  0.824  0.011  2.739  0.007  HD60060   5.872
  HD62848  115.8395164 -52.1641267      6.695  0.008  0.354  0.005  0.178  0.013  0.355  0.007  2.642  0.001  HD60060   5.872
  HD57118  109.7580022 -19.2803020      6.085  0.013  0.422  0.003  0.090  0.011  1.478  0.033  2.692  0.004  HD60341   5.645
  HD58439  111.2120106 -19.0122800      6.235  0.004  0.261  0.005  0.001  0.010  1.225  0.005  2.654  0.001  HD60341   5.645
  HD63754  117.4385930 -20.2076233      6.550  0.000  0.358  0.001  0.198  0.001  0.431  0.001  2.634  0.006  HD60341   5.645
  HD60345  113.2907273 -24.7107365      5.844  0.001  0.074  0.001  0.211  0.001  1.032  0.001  2.854  0.001  HD62412  -9.999
  HD65813  119.8765021 -28.4332166      7.667  0.006  0.211  0.004  0.168  0.006  0.740  0.009  2.722  0.010  HD62412  -9.999
  HD64287  117.8347426 -43.0952338      6.323  0.033 -0.083  0.005  0.094  0.002  0.196  0.006  2.628  0.029  HD62713   5.134
  HD60813  113.6132181 -42.3990266      7.307  0.001  0.115  0.001  0.177  0.001  1.102  0.001  2.817  0.001  HD62713   5.134
