DATE UT | type | filter | exp | h_sun | ADU
4/12/2023 09:07 | skyflat | g | 29.491130542489348 | -7.9 | 971.0
4/12/2023 09:08 | skyflat | g | 29.491130542489348 | -6.0 | 20300.0
4/12/2023 09:08 | skyflat | g | 24.207506747842505 | -6.1 | 1115.0
4/12/2023 09:09 | skyflat | g | 24.207506747842505 | -6.2 | 20180.0
4/12/2023 09:09 | skyflat | g | 19.791986224777588 | -6.3 | 1299.0
4/12/2023 09:10 | skyflat | g | 19.791986224777588 | -6.4 | 20095.0
4/12/2023 09:10 | skyflat | g | 16.96899764130933 | -6.5 | 1475.0
4/12/2023 09:10 | skyflat | g | 16.96899764130933 | -6.5 | 20335.0
4/12/2023 09:11 | skyflat | g | 14.194262679025138 | -6.6 | 1692.0
4/12/2023 09:11 | skyflat | g | 14.194262679025138 | -6.7 | 19988.0
4/12/2023 09:11 | skyflat | g | 12.13872130709751 | -6.8 | 1930.0
4/12/2023 09:12 | skyflat | g | 12.13872130709751 | -6.8 | 20127.0
4/12/2023 09:12 | skyflat | g | 10.444955086693126 | -6.9 | 2199.0
4/12/2023 09:12 | skyflat | g | 10.444955086693126 | -7.0 | 20033.0
4/12/2023 09:13 | skyflat | r | 12.348499348616658 | -5.0 | 1913.0
4/12/2023 09:13 | skyflat | r | 12.348499348616658 | -5.1 | 20205.0
4/12/2023 09:13 | skyflat | r | 10.560888804401777 | -5.2 | 2179.0
4/12/2023 09:14 | skyflat | r | 10.560888804401777 | -5.2 | 20094.0
4/12/2023 09:14 | skyflat | r | 9.099263869552953 | -5.3 | 2486.0
4/12/2023 09:14 | skyflat | r | 9.099263869552953 | -5.4 | 20079.0
4/12/2023 09:15 | skyflat | r | 7.93789391798568 | -5.5 | 2809.0
4/12/2023 09:15 | skyflat | r | 7.93789391798568 | -5.5 | 19972.0
4/12/2023 09:15 | skyflat | r | 6.971070059254095 | -5.6 | 3154.0
4/12/2023 09:16 | skyflat | r | 6.971070059254095 | -5.7 | 20109.0
4/12/2023 09:16 | skyflat | r | 6.070060639905792 | -5.7 | 3573.0
4/12/2023 09:16 | skyflat | r | 6.070060639905792 | -5.8 | 19954.0
4/12/2023 09:17 | skyflat | r | 5.098633056477558 | -5.9 | 4213.0
4/12/2023 09:17 | skyflat | r | 5.098633056477558 | -6.0 | 20203.0
4/12/2023 09:17 | skyflat | i | 5.470968306680599 | -4.0 | 3945.0
4/12/2023 09:17 | skyflat | i | 5.470968306680599 | -4.1 | 20008.0
4/12/2023 09:18 | skyflat | i | 4.760068735392539 | -4.2 | 4486.0
4/12/2023 09:18 | skyflat | i | 4.760068735392539 | -4.2 | 20105.0
4/12/2023 09:18 | skyflat | i | 4.186780658748069 | -4.3 | 5071.0
4/12/2023 09:19 | skyflat | i | 4.186780658748069 | -4.4 | 20185.0
4/12/2023 09:19 | skyflat | i | 3.677322320978756 | -4.5 | 5747.0
4/12/2023 09:19 | skyflat | i | 3.677322320978756 | -4.5 | 20451.0
4/12/2023 09:20 | skyflat | i | 3.138613737084605 | -4.6 | 6649.0
4/12/2023 09:20 | skyflat | i | 3.138613737084605 | -4.7 | 20345.0
4/12/2023 09:20 | skyflat | i | 2.6753168578403503 | -4.8 | 7776.0
4/12/2023 09:20 | skyflat | i | 2.6753168578403503 | -4.8 | 20548.0
4/12/2023 09:21 | skyflat | i | 2.185935689772007 | -5.0 | 9435.0
4/12/2023 09:21 | skyflat | i | 2.185935689772007 | -3.0 | 21072.0
4/12/2023 09:44 | domeflat | Ic | 2.0 | 0.1 | 300.0
4/12/2023 09:44 | domeflat | Ic | 2.0 | 0.1 | 301.0
4/12/2023 09:46 | domeflat | V | 5.0 | 0.2 | 27651.0
4/12/2023 09:46 | domeflat | V | 5.0 | 0.2 | 27664.0
5/12/2023 09:10 | skyflat | i | 19.84 | -6.4 | 1299.0
5/12/2023 09:11 | skyflat | i | 16.95 | -6.6 | 1479.0
5/12/2023 09:12 | skyflat | i | 14.25 | -6.8 | 1693.0
5/12/2023 09:12 | skyflat | i | 12.30 | -7.0 | 1920.0
5/12/2023 09:13 | skyflat | i | 10.56 | -5.1 | 2174.0
5/12/2023 09:14 | skyflat | i | 9.36 | -5.2 | 2437.0
5/12/2023 09:14 | skyflat | i | 8.07 | -5.4 | 2782.0
5/12/2023 09:15 | skyflat | r | 5.95 | -5.5 | 3655.0
5/12/2023 09:16 | skyflat | r | 5.18 | -5.7 | 4152.0
5/12/2023 09:16 | skyflat | r | 4.48 | -5.8 | 4764.0
5/12/2023 09:17 | skyflat | r | 3.84 | -6.0 | 5498.0
5/12/2023 09:18 | skyflat | r | 3.29 | -4.2 | 6371.0
5/12/2023 09:18 | skyflat | r | 2.86 | -4.3 | 7287.0
5/12/2023 09:19 | skyflat | r | 2.54 | -4.4 | 8165.0
5/12/2023 09:20 | skyflat | g | 2.00 | -4.6 | 12549.0
